"opcode","name","builtin","f1","f2","f3","i1","i2","o1","o2","m1","m2","token","comment"
"229","Lt","LT","Same","Eq","Lt","XX","YY","VV","VV","2","2","LGE+N+S","%	a<b	a.LT.b"
"230","Matmul","MATMUL","Matmul","undef","undef","BU","HC","BU","HC","2","2","OK","f9	(matrix_a,matrix_b)"
"231","MatRot","MAT_ROT","Matrix","undef","MatRot","F","HC","F","HC","2","5","OK","(mat,angle,mag,x0,y0)"
"232","MatRotInt","MAT_ROT_INT","Matrix","undef","MatRotInt","F","HC","F","HC","2","5","OK","(mat,angle,mag,x0,y0)"
"233","Max","MAX","MinMax","Add","Max","BU","HC","BU","HC","2","254","OK","f9	(x,y..)"
"234","MaxExponent","MAXEXPONENT","Scalar","Any","MaxExponent","F","HC","L","L","1","1","OK","f9	(model)"
"235","MaxLoc","MAXLOC","Trans","Mask3L","MaxLoc","T","HC","SUBSCRIPT","SUBSCRIPT","1","3","OK","f9	(x,[dim],[mask])"
"236","MaxVal","MAXVAL","Trans","Mask3","MaxVal","T","HC","T","HC","1","3","OK","f9	(x,[dim],[mask])"
"237","Mean","MEAN","Trans","Mask3","Mean","BU","HC","F","HC","1","3","OK","(x,[dim],[mask])"
"238","Median","MEDIAN","Same","Long2","Median","BU","HC","BU","HC","2","2","OK","(a,width)"
"239","Merge","MERGE","Same","Merge","Merge","XX","YY","XX","YY","3","3","OK","f9	(tsource,fsource,mask)"
"240","MethodOf","METHOD_OF","MethodOf","undef","undef"," METHOD","METHOD","XX","YY","1","1","OK+I","mds	(method)"
"241","Min","MIN","MinMax","Add","Min","BU","HC","BU","HC","2","254","OK","f9	(x,y..)"
"242","MinExponent","MINEXPONENT","Scalar","Any","MinExponent","F","HC","L","L","1","1","OK","f9	(model)"
"243","MinLoc","MINLOC","Trans","Mask3L","MinLoc","T","HC","SUBSCRIPT","SUBSCRIPT","1","3","OK","f9	(x,[dim], [mask])"
"244","MinVal","MINVAL","Trans","Mask3","MinVal","T","HC","T","HC","1","3","OK","f9	(x,[dim],[mask])"
"245","Mod","MOD","Same","Add","Mod","BU","HC","BU","HC","2","2","MOD+N","f9	(a,p)"
"246","ModelOf","MODEL_OF","ModelOf","undef","undef"," CONGLOM","CONGLOM","XX","YY","1","1","OK+I","mds	(conglom)"
"247","Multiply","MULTIPLY","Same","Multiply","Multiply","BU","HC","BU","HC","2","2","MUL+S","%	a*b"
"248","NameOf","NAME_OF","NameOf","undef","undef","CONGLOM","CONGLOM","T","T","1","1","OK+I","mds	(conglom)"
"249","Nand","NAND","Same","Land","Nand","BU","O","VV","VV","2","2","LAND+N","%	(v,w)	.NOT.(v.AND.w)"
"250","NandNot","NAND_NOT","Same","Land","NandNot","BU","O","VV","VV","2","2","LAND+N","%	(v,w)	.NOT.v.OR.w"
"251","Ndesc","NDESC","Ndesc","undef","undef"," PARAM","WITH_UNITS","BU","BU","1","1","OK","mds	(class_R)"
"252","Ne","NE","Same","Eq","Ne","XX","YY","VV","VV","2","2","LEQ+N+S","%	a!=b a/=b a<>b a.NE.b"
"253","Nearest","NEAREST","Same","Sign","Nearest","F","HC","F","HC","2","2","OK","f9	(x,s)"
"254","Neqv","NEQV","Same","Land","Neqv","BU","O","VV","VV","2","2","LEQV+N","%	(v,w)	v.NEQV.w"
"255","Nint","NINT","Same","Aint","Nint","BU","HC","L","L","1","2","OK","f9	(x,[kind])"
"256","Nor","NOR","Same","Land","Nor","BU","O","VV","VV","2","2","LOR+N","%	(v,w)	.NOT.(v.OR.w)"
"257","NorNot","NOR_NOT","Same","Land","NorNot","BU","O","VV","VV","2","2","LOR+N","%	(v,w)	.NOT.v.AND.w"
"258","Not","NOT","Same","Not","Not","BU","O","VV","VV","1","1","UNARY+N+S","%	!a	.NOT.a"
